batch_id,batch_size,start_time,end_time,total_time_ms,pipeline_utilization,accuracy,images_per_second,model_name,num_devices,timestamp
0,8,1752968780.6770144,1752968784.700914,4023.899555206299,0.0,100.0,1.9881211969243235,,1,2025-07-19T18:46:24.700992
1,8,1752968784.7010753,1752968787.6630104,2961.935043334961,0.0,87.5,2.70093701683359,,1,2025-07-19T18:46:27.663066
2,8,1752968787.6631408,1752968790.6715956,3008.4547996520996,0.0,87.5,2.6591724100109886,,1,2025-07-19T18:46:30.671699
3,8,1752968790.6717935,1752968793.6409786,2969.1851139068604,0.0,87.5,2.694341946728132,,1,2025-07-19T18:46:33.641052
4,8,1752968793.6411154,1752968796.6091366,2968.0211544036865,0.0,87.5,2.6953985783188608,,1,2025-07-19T18:46:36.609194
5,8,1752968796.6092446,1752968799.584075,2974.830389022827,0.0,100.0,2.6892289488234793,,1,2025-07-19T18:46:39.584135
6,8,1752968799.584207,1752968802.4835463,2899.339199066162,0.0,100.0,2.759249418825052,,1,2025-07-19T18:46:42.483595
7,8,1752968802.4836433,1752968805.4911404,3007.4970722198486,0.0,100.0,2.660019214613951,,1,2025-07-19T18:46:45.491199
8,8,1752968805.4912722,1752968808.4096208,2918.348550796509,0.0,75.0,2.741276396822631,,1,2025-07-19T18:46:48.409692
9,8,1752968808.4097662,1752968811.3580468,2948.2805728912354,0.0,87.5,2.7134459567919578,,1,2025-07-19T18:46:51.358105
10,8,1752968811.3581693,1752968814.3069727,2948.803424835205,0.0,75.0,2.7129648360494163,,1,2025-07-19T18:46:54.307052
11,8,1752968814.3071198,1752968817.241804,2934.6840381622314,0.0,87.5,2.7260174846658414,,1,2025-07-19T18:46:57.241878
12,4,1752968817.2419863,1752968819.1639242,1921.9379425048828,0.0,75.0,2.081232651449066,,1,2025-07-19T18:46:59.164002
